pdb	chain	dgexp	dgpre	bsa	hy	hb	at	re 	ar	sb	db
1EZU	C:AB	-13.8	-13.1	2751	44	29	8	4	0	0	0
1E96	A:B	-7.4	-8.0	1179	22	18	4	1	1	0	0
1WEJ	HL:F	-12.5	-9.4	1177	27	19	9	7	0	4	0
1I2M	A:B	-15.8	-14.6	2779	30	38	36	14	1	25	0
1PVH	A:B	-9.5	-10.9	1403	9	15	12	3	0	3	0
1R0R	E:I	-14.2	-11.3	1409	35	19	1	0	1	0	0
1EWY	A:C	-7.4	-8.3	1502	13	10	20	4	0	3	0
1GXD	A:C	-11.7	-12.6	2445	92	22	13	9	3	14	0
2C0L	A:B	-9.8	-11.2	2013	25	16	8	7	0	6	0
1E4K	AB:C	-7.9	-9.4	1634	22	18	2	0	0	1	0
1PPE	E:I	-15.6	-14.7	1688	30	30	2	0	0	6	0
1Z0K	A:B	-7	-11.7	1787	50	18	8	1	0	8	0
1GLA	G:F	-6.8	-8.1	1304	47	8	11	0	0	10	0
2ABZ	B:E	-11.7	-12.0	1447	32	8	2	4	0	0	0
2PCC	A:B	-7.9	-8.1	1141	12	5	8	6	0	2	0
2VIS	AB:C	-7.4	-11.0	1296	20	16	0	0	0	0	0
2WPT	A:B	-10.7	-11.9	1581	42	25	3	1	1	10	0
2PCB	A:B	-6.8	-7.4	1029	15	5	4	8	0	3	0
2HRK	A:B	-11	-8.7	1595	33	5	2	18	0	1	0
1BUH	A:B	-9.7	-8.4	1324	33	11	12	6	0	3	0
1GCQ	B:C	-6.5	-9.0	1208	37	13	0	0	0	0	0
1FSK	BC:A	-13.1	-11.7	1623	21	25	12	0	1	10	0
1JPS	HL:T	-13.6	-12.9	1852	26	28	9	8	0	1	0
1BVN	P:T	-15.1	-13.3	2222	56	23	18	6	1	5	0
2VIR	AB:C	-12.3	-10.9	1263	18	15	0	0	0	0	0
3SGB	E:I	-14.5	-13.1	1268	18	15	2	0	0	0	0
1DQJ	AB:C	-11.7	-12.7	1765	27	29	1	2	0	1	0
1KAC	A:B	-10.7	-11.9	1456	32	9	4	2	0	4	0
1AK4	A:D	-6.4	-7.3	1029	29	8	0	0	0	0	0
1US7	A:B	-8.1	-6.8	1106	22	14	10	1	0	1	0
2GOX	A:B	-12.1	-11.3	1631	10	11	14	15	0	1	0
1J2J	A:B	-8.1	-7.0	1209	49	4	2	1	0	0	0
1AKJ	AB:DE	-5.3	-7.3	1995	18	29	7	0	0	9	0
1JWH	CD:A	-11.1	-9.5	1451	38	8	7	0	0	1	0
1JTG	B:A	-12.8	-11.6	2600	54	25	19	11	0	6	0
2TGP	Z:I	-7.5	-12.3	1432	20	23	0	0	0	2	0
4CPA	A:I	-11.3	-10.1	1177	28	3	0	0	0	0	0
1KKL	ABC:H	-10	-9.1	1641	24	12	2	5	0	0	0
1BJ1	HL:VW	-11.6	-12.2	1731	26	24	2	0	1	0	0
1QA9	A:B	-7.2	-9.6	1353	12	19	19	21	0	17	0
1AVZ	B:C	-6.5	-8.4	1259	34	12	4	5	0	6	0
1FFW	A:B	-8.1	-5.7	1170	23	12	3	1	0	4	0
1LFD	B:A	-7.8	-8.4	1167	11	18	11	0	0	4	0
2AQ3	A:B	-6.7	-7.4	1105	20	9	1	0	0	1	0
